,id,checkout,order_placed
0,session240518168612,0.8270553528128559,0.7328406833324643
1,session876173328405,0.7975251670263623,0.7727997999285515
2,session1382979469382,0.7880408231368092,0.7139041865219637
3,session927712936010,0.9400267397007159,0.8767535744056857
4,session970662608923,0.9286953525485383,0.9011437710982356
5,session678604832828,0.920717488246906,0.8813312037144844
6,session876173328440,0.9078120976917035,0.8196450121692911
7,session919123001353,0.9117670818376086,0.8989054451345247
8,session1649267441740,0.9400267397007159,0.8767535744056857
9,session1357209665586,0.9286953525485383,0.9011437710982356
10,session1589137899611,0.9331688002749201,0.8742447525336874
11,session1434519076874,0.8850586109315409,0.8456017969327138
12,session1683627180088,0.9259018598084815,0.8765469248917446
13,session1099511627790,0.9411905071088721,0.883347655150099
14,session1675037245493,0.920717488246906,0.8813312037144844
15,session755914244109,0.9384586444581872,0.8960887307779831
16,session798863917140,0.9331688002749201,0.8742447525336874
17,session360777252897,0.9264076702747845,0.8927771660728243
18,session927712935963,0.9264076702747845,0.8927771660728243
19,session747324309529,0.9264076702747845,0.8927771660728243
20,session1563368095809,0.9259018598084815,0.8765469248917446
21,session953482739728,0.9264076702747845,0.8927771660728243
22,session1056561954889,0.920717488246906,0.8813312037144844
23,session1468878815277,0.925194253033997,0.8932337418019815
24,session77309411351,0.9264076702747845,0.8927771660728243
25,session1030792151093,0.9259018598084815,0.8765469248917446
26,session755914244104,0.9117670818376086,0.8989054451345247
27,session1657857376306,0.920717488246906,0.8813312037144844
28,session764504178748,0.9018276762437448,0.8982233367311105
29,session1116691496975,0.9117670818376086,0.8989054451345247
30,session566935683139,0.9078120976917035,0.8196450121692911
31,session25769803784,0.8916553403712814,0.9210586608905235
32,session1116691496998,0.9241300588258414,0.8979334939548114
33,session1408749273094,0.8543850635523482,0.7205729482707903
34,session498216206378,0.920717488246906,0.8813312037144844
35,session1503238553620,0.9411905071088721,0.883347655150099
36,session764504178699,0.9384586444581872,0.8960887307779831
37,session1185410973778,0.9170899394077054,0.8690030121952524
38,session1202590842941,0.9170899394077054,0.8690030121952524
39,session128849018968,0.9400267397007159,0.8767535744056857
40,session85899345928,0.8543850635523482,0.7205729482707903
41,session1400159338564,0.9078120976917035,0.8196450121692911
42,session987842478157,0.9018276762437448,0.8982233367311105
43,session335007449097,0.9117670818376086,0.8989054451345247
44,session128849018944,0.920717488246906,0.8813312037144844
45,session1194000908345,0.9170899394077054,0.8690030121952524
46,session807453851658,0.9384586444581872,0.8960887307779831
47,session1262720385060,0.925194253033997,0.8932337418019815
48,session223338299466,0.9400267397007159,0.8767535744056857
49,session1116691497021,0.9078120976917035,0.8196450121692911
50,session1460288880675,0.9241300588258414,0.8979334939548114
51,session1288490188831,0.9241300588258414,0.8979334939548114
52,session936302870581,0.925194253033997,0.8932337418019815
53,session317827579999,0.9400267397007159,0.8767535744056857
54,session472446402576,0.9384586444581872,0.8960887307779831
55,session962072674318,0.9117670818376086,0.8989054451345247
56,session755914244146,0.9286953525485383,0.9011437710982356
57,session790273982478,0.9384586444581872,0.8960887307779831
58,session1142461300780,0.925194253033997,0.8932337418019815
59,session773094113332,0.9286953525485383,0.9011437710982356
60,session274877907052,0.9331688002749201,0.8742447525336874
61,session1709396983817,0.8916553403712814,0.9210586608905235
62,session317827579905,0.9289057069400795,0.8984064081606259
63,session240518168652,0.9400267397007159,0.8767535744056857
64,session111669149729,0.925194253033997,0.8932337418019815
65,session1434519076906,0.9286953525485383,0.9011437710982356
66,session1022202216463,0.9411905071088721,0.883347655150099
67,session721554505797,0.9170899394077054,0.8690030121952524
68,session420906795078,0.9078120976917035,0.8196450121692911
69,session137438953513,0.925194253033997,0.8932337418019815
70,session17179869201,0.9264076702747845,0.8927771660728243
71,session807453851690,0.9259018598084815,0.8765469248917446
72,session1228360646724,0.9018276762437448,0.8982233367311105
73,session231928233984,0.9289057069400795,0.8984064081606259
74,session575525617707,0.9286953525485383,0.9011437710982356
75,session712964571187,0.925194253033997,0.8932337418019815
76,session558345748576,0.9325750847994674,0.8062855407281345
77,session790273982475,0.9117670818376086,0.8989054451345247
78,session1408749273098,0.9117670818376086,0.8989054451345247
79,session188978561111,0.9325750847994674,0.8062855407281345
80,session1486058684423,0.9117670818376086,0.8989054451345247
81,session979252543532,0.9286953525485383,0.9011437710982356
82,session1374389534771,0.920717488246906,0.8813312037144844
83,session661424963636,0.9259018598084815,0.8765469248917446
84,session1425929142307,0.9241300588258414,0.8979334939548114
85,session627065225222,0.925194253033997,0.8932337418019815
86,session283467841604,0.9170899394077054,0.8690030121952524
87,session1511828488199,0.9117670818376086,0.8989054451345247
88,session1340029796409,0.9400267397007159,0.8767535744056857
89,session154618822733,0.9331688002749201,0.8742447525336874
90,session300647710803,0.9331688002749201,0.8742447525336874
